FIPS,quadrant,avg_down,avg_up,max_down,max_up,num_providers,num_platforms,top_plat_type,top_plat_ratio,bscore_raw,bscore_norm,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,NumBldgs,NumFloors,UnitsRes,UnitsTotal,Building Type_Commercial & Office Buildings,Building Type_Industrial & Manufacturing Buildings,Building Type_Mixed Residential & Commercial Buildings,Building Type_Multi-Family Elevator Buildings,Building Type_Multi-Family Walk-Up Buildings,Building Type_One & Two Family Buildings,Building Type_Open Space & Outdoor Recreation,Building Type_Parking Facilities,Building Type_Public Facilities & Institutions,Building Type_Transportation & Utility,Building Type_Vacant Land,Population Density (per sq. mile),Area (Land),Area Total:,Area Total: Area (Water),Total Population:,Households:,Households: Less than $10_000,Households: $10_000 to $14_999,Households: $15_000 to $19_999,Households: $20_000 to $24_999,Households: $25_000 to $29_999,Households: $30_000 to $34_999,Households: $35_000 to $39_999,Households: $40_000 to $44_999,Households: $45_000 to $49_999,Households: $50_000 to $59_999,Households: $60_000 to $74_999,Households: $75_000 to $99_999,Households: $100_000 to $124_999,Households: $125_000 to $149_999,Households: $150_000 to $199_999,Households: $200_000 or More,Per capita income (In 2014 Inflation adjusted dollars),Gini Index
36047067600,3,69.11428571,43.71634286,101,100.0,3,3,Copper,0.506912442,102.5724571,-0.890487345,713886,110131,603755,19532,73878,1204,0,14067,483,637.25,515,559,9,2,9,0,6,351,0,5,1,2,2,32221.91,0.059990239,0.05999024,0.0,1933,613,14,0,20,30,18,16,6,0,32,48,181,31,19,94,91,13,29468.0,0.3334
36047068600,3,64.96296296,41.5522963,101,100.0,3,3,Copper,0.393258427,97.33911111,-0.918129936,763832,16304,747528,4444,10200,0,0,0,332,531.5,673,677,2,0,2,0,21,228,2,0,0,0,0,25216.36,0.057145439,0.05714544,0.0,1441,673,74,36,31,38,24,15,48,33,48,43,106,107,31,24,15,0,26156.0,0.3926
36047069200,3,52.88888889,34.0,101,100.0,5,3,Copper,0.470198675,82.48888889,-0.996568972,962635,39016,923619,793,26176,0,0,0,608,1054.34,762,773,2,0,1,0,44,452,1,1,1,0,1,36700.32,0.070353608,0.0703536,0.0,2582,804,51,10,0,57,17,34,6,25,32,37,113,108,135,88,50,41,28617.0,0.3656
36047069800,3,56.03846154,35.29707692,101,100.0,8,3,Copper,0.489361702,87.787,-0.968584291,4102044,3353810,748234,123581,1498864,1418735,47764,37800,536,829.25,546,735,18,4,5,1,1,360,1,12,7,3,5,7108.553,0.193147613,0.2397583,0.04661064,1373,492,51,0,30,3,5,9,12,24,10,47,94,45,41,41,57,23,31324.0,0.3985
36047076400,1,269.9411765,249.7647059,1000,1000.0,6,4,Copper,0.459854015,497.8235294,1.197233139,1738791,78162,1660629,2000,0,42650,0,0,312,517.0,1372,1375,0,0,1,12,13,150,0,0,2,2,1,61228.27,0.062389478,0.06238948,0.0,3820,1264,54,46,120,69,63,45,136,17,65,111,210,103,59,21,64,81,25124.0,0.4814
36047082400,1,277.509434,257.8867925,1000,1000.0,8,4,Copper,0.29787234,510.4528302,1.263941244,2045781,364317,1681464,19792,143753,8900,4900,36440,632,1155.0,1701,1835,14,4,53,3,151,261,0,12,11,2,11,48381.63,0.082758685,0.08275869,0.0,4004,1541,244,74,100,170,49,58,50,136,42,23,197,189,59,70,58,22,22177.0,0.4882
36047082800,1,334.0810811,310.7027027,1000,1000.0,6,4,Fiber,0.396226415,592.4324324,1.696958399,1635137,304245,1330892,9437,153017,0,10000,1000,455,962.25,1394,1531,14,3,71,3,110,173,0,0,7,0,4,62007.23,0.060492944,0.06049294,0.0,3751,1208,108,78,56,49,16,124,0,51,101,140,203,112,61,61,28,20,22243.0,0.4546
36047085400,1,304.6864407,285.4054237,1000,1000.0,4,4,Copper,0.431818182,549.3891525,1.469603324,808184,22341,785843,0,0,153,0,0,569,734.25,747,749,0,0,1,1,31,344,0,1,1,0,3,36290.01,0.049710655,0.04971065,0.0,1804,672,34,20,28,26,69,46,108,26,36,27,37,105,49,34,12,15,23608.0,0.3953
36047086400,1,304.1818182,285.4922182,1000,1000.0,5,4,Cable,0.333333333,549.4279273,1.469808133,965035,62455,902580,12296,21980,12319,7188,0,458,684.5,747,769,8,0,7,0,98,228,0,4,1,1,6,40405.85,0.058803361,0.05880336,0.0,2376,773,53,6,68,26,39,43,41,58,16,29,55,112,62,81,58,26,25882.0,0.4164
36047088200,1,295.25,275.6666667,1000,1000.0,6,4,Fixed_wireless,0.25,536.0833333,1.399321842,2848674,110894,2737780,3167,87224,1708,0,0,590,956.25,2532,2603,4,0,42,7,193,203,1,0,1,0,3,83966.2,0.07844824,0.07844824,0.0,6587,2521,267,164,96,192,175,48,284,32,119,333,239,248,172,20,71,61,21667.0,0.436
